Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,Block Size,GFLOPS
118,4,6,248.921,241.836,260.122,254.865,276.721,256.923,243.026,319.233,238.002,255.031,238.002,2832,0.563935295
69,16,11,238.015,259.909,285.341,247.391,245.685,257.354,285.882,244.463,266.634,271.448,238.015,12144,0.563904493
104,15,16,248.509,253.803,238.015,263.581,247.575,247.964,246.028,249.467,247.351,363.774,238.015,24960,0.563904493
97,5,7,287.192,243.78,238.018,316.472,261.975,280.76,245.805,275.412,287.811,247.801,238.018,3395,0.563897386
114,16,16,245.657,240.304,269.953,268.934,258.392,258.812,245.928,259.572,238.018,293.085,238.018,29184,0.563897386
103,11,14,238.022,281.343,307.575,255.964,364.856,287.644,280.04,252.138,287.536,268.328,238.022,15862,0.56388791
114,8,5,238.652,291.117,251.32,270.738,256.606,238.023,263.822,248.191,256.443,267.57,238.023,4560,0.56388554
108,7,8,245.603,239.576,263.875,238.878,256.403,343.792,260.163,240.722,261.608,238.024,238.024,6048,0.563883171
92,12,16,238.025,272.872,243.251,330.483,278.761,306.684,247.3,259.622,253.264,302.779,238.025,17664,0.563880802
102,6,13,297.347,239.317,293.38,270.574,242.129,257.696,259.789,284.657,238.032,259.575,238.032,7956,0.56386422
101,8,16,271.363,259.136,276.689,238.033,267.309,240.958,250.544,277.475,254.167,249.71,238.033,12928,0.563861851
121,4,6,238.033,256.129,240.698,249.79,243.784,270.307,242.122,256.888,246.328,267.978,238.033,2904,0.563861851
67,4,8,245.886,247.332,271.527,245.623,244.141,281.425,300.608,288.034,257.54,238.036,238.036,2144,0.563854745
111,4,11,257.999,312.582,252.808,245.647,252.787,240.718,248.346,238.038,266.595,240.009,238.038,4884,0.563850007
94,11,4,254.797,258.148,238.039,250.069,250.466,351.494,307.15,332.665,241.734,273.51,238.039,4136,0.563847638
109,15,14,244.417,262.86,245.311,273.011,238.042,306.168,280.138,260.095,252.613,267.999,238.042,22890,0.563840532
86,10,10,238.047,275.569,247.943,244.391,242.824,295.795,238.727,246.982,259.282,275.596,238.047,8600,0.563828689
115,14,6,253.632,240.512,254.439,286.072,253.53,247.883,238.05,278.374,255.906,268.366,238.05,9660,0.563821584
103,6,12,252.89,241.741,292.633,252.983,249.249,266.59,238.051,309.084,239.986,254.779,238.051,7416,0.563819215
39,7,16,363.929,284.285,336.904,336.77,268.277,273.211,250.475,238.054,279.151,254.06,238.054,4368,0.56381211
86,13,12,238.055,283.763,258.04,243.534,283.569,242.77,275.907,298.282,257.888,243.052,238.055,13416,0.563809741
70,13,15,238.061,257.978,249.912,281.733,316.219,287.494,251.833,254.993,250.015,246.187,238.061,13650,0.563795531
94,8,5,258.012,239.866,301.137,240.389,240.967,250.47,269.846,271.769,238.061,271.302,238.061,3760,0.563795531
79,8,8,392.512,331.831,266.127,252.592,257.778,313.399,238.541,294.549,276.933,238.062,238.062,5056,0.563793163
102,10,16,249.059,238.062,248.049,240.719,284.605,240.401,253.475,242.035,253.821,240.825,238.062,16320,0.563793163
98,11,15,269.389,270.887,294.547,242.326,259.503,251.41,273.559,284.305,294.233,238.063,238.063,16170,0.563790795
126,6,8,323.78,264.085,335.753,288.808,257.605,254.338,306.825,242.937,290.367,238.064,238.064,6048,0.563788427
94,15,9,292.079,304.254,238.067,256.861,287.849,257.589,287.423,277.763,241.884,293.613,238.067,12690,0.563781322
75,16,12,238.069,309.396,247.253,252.604,320.938,245.602,265.871,294.808,288.493,283.29,238.069,14400,0.563776586
101,16,10,308.393,243.591,284.489,249.094,260.649,238.075,258.125,240.972,253.266,245.94,238.075,16160,0.563762377
103,10,8,256.36,238.076,249.39,240.94,272.426,240.232,304.746,277.189,289.952,278.32,238.076,8240,0.563760009
82,6,15,247.121,254.581,238.077,257.668,252.566,301.955,241.555,260.011,257.898,308.223,238.077,7380,0.563757641
101,14,7,323.683,254.341,251.532,242.672,274.942,244.249,260.108,238.078,242.548,260.667,238.078,9898,0.563755273
122,15,8,259.909,245.004,258.442,241.641,249.15,262.597,302.3,250.125,238.084,263.202,238.084,14640,0.563741066
67,15,16,264.112,267.339,256.456,240.623,257.708,247.376,268.099,240.83,252.357,238.094,238.094,16080,0.563717389
92,15,8,303.67,308.945,303.912,252.375,238.096,261.03,288.145,283.275,302.576,260.985,238.096,11040,0.563712654
120,15,8,264.868,249.442,256.739,256.569,267.516,241.962,266.421,238.098,257.724,240.285,238.098,14400,0.563707919
94,4,12,322.947,269.053,272.513,238.099,253.188,238.825,257.141,255.095,257.591,283.785,238.099,4512,0.563705551
108,4,14,238.237,262.671,344.137,250.081,238.099,263.638,243.85,255.368,258.962,247.025,238.099,6048,0.563705551
84,16,8,254.925,238.1,248.166,242.733,254.944,249.059,253.327,286.865,305.554,253.892,238.1,10752,0.563703184
34,12,11,241.912,294.393,277.873,264.985,300.647,270.364,300.154,265.71,249.97,238.102,238.102,4488,0.563698449
123,12,16,248.301,289.894,333.672,258.789,251.501,250.272,256.469,240.701,251.332,238.104,238.104,23616,0.563693714
72,6,10,301.618,238.106,248.163,248.705,261.867,256.525,281.839,269.969,248.405,255.183,238.106,4320,0.563688979
77,15,12,281.713,342.254,339.523,289.653,284.347,244.468,238.112,270.964,253.695,284.88,238.112,13860,0.563674775
