Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
18,8,8,154.41,144.413,144.274,144.205,150.386,143.882,144.682,144.23,145.999,143.846,143.846,0.9330654171822643
18,8,9,172.318,170.212,160.488,160.872,161.094,160.473,161.053,167.158,160.64,163.503,160.473,0.8363882273030354
18,8,10,190.738,177.503,185.614,177.376,190.392,183.755,178.363,177.062,177.411,177.183,177.062,0.7580267251019416
18,8,11,206.737,194.16,193.897,193.41,201.096,193.501,194.96,193.491,193.287,194.22,193.287,0.6943960431896609
18,8,12,222.11,210.614,210.291,210.507,210.813,210.384,211.093,210.828,210.793,210.302,210.291,0.6382476092652561
18,8,13,237.356,226.944,228.654,227.387,226.823,226.853,227.449,226.798,227.971,227.399,226.798,0.5917941428054921
18,8,14,256.254,244.392,250.211,244.374,243.58,262.551,262.541,262.756,262.745,258.893,243.58,0.5510211347401264
18,8,15,279.396,273.802,273.366,262.97,260.396,259.998,259.883,260.361,260.264,260.003,259.883,0.5164544352651002
18,8,16,160.792,145.853,153.433,153.126,155.879,145.943,148.08,146.261,145.749,145.953,145.749,0.9208826681486666
18,9,4,187.08,173.312,173.98,173.751,173.996,173.697,174.231,174.802,173.595,173.748,173.312,0.7744283604135892
18,9,5,223.232,211.333,211.629,212.057,211.438,218.022,211.316,210.596,210.975,210.747,210.596,0.637323254002925
18,9,6,201.286,186.688,198.513,185.954,186.122,186.761,193.666,202.692,195.716,196.053,185.954,0.7217791927035718
18,9,7,223.982,216.844,216.769,217.206,217.42,216.945,216.802,217.092,217.627,217.824,216.769,0.6191739962817562
18,9,8,173.629,165.263,163.119,163.952,163.241,163.346,163.853,164.369,162.869,162.456,162.456,0.8261789530703698
18,9,9,195.13,182.719,182.325,192.877,192.25,190.545,180.388,181.493,181.003,180.533,180.388,0.7440502028959798
18,9,10,209.284,198.723,199.081,198.938,198.964,198.925,199.018,198.595,198.64,206.196,198.595,0.675836390644276
18,9,11,228.882,218.102,217.213,224.899,217.635,217.617,217.212,217.643,225.058,217.547,217.212,0.6179112019593761
18,9,12,248.28,243.328,236.729,238.183,236.622,243.258,236.254,236.353,242.466,236.177,236.177,0.5682929667156412
18,9,13,266.728,254.86,255.226,255.02,255.352,261.758,255.984,254.911,255.036,262.003,254.86,0.526633163305344
18,9,14,284.45,273.689,273.983,274.356,273.708,273.808,280.651,274.079,273.805,281.468,273.689,0.4904023471896934
18,9,15,304.092,300.421,292.37,292.706,292.418,292.484,299.026,292.721,292.453,293.193,292.37,0.45906805759824876
18,9,16,174.954,164.856,165.085,164.206,173.027,166.191,171.593,165.066,164.581,173.105,164.206,0.8173740789008929
18,10,4,204.961,192.763,192.922,205.265,192.348,192.391,192.59,193.663,192.866,192.65,192.348,0.6977859296691413
18,10,5,243.933,234.667,234.565,247.04,234.213,235.463,234.171,235.179,234.075,234.24,234.075,0.5733962533376055
18,10,6,217.86,207.014,206.897,216.147,214.437,206.592,206.913,206.498,206.564,206.658,206.498,0.6499710796230472
18,10,7,248.26,238.423,237.621,237.832,237.634,238.138,238.186,237.89,237.924,237.6,237.6,0.5648894276094276
18,10,8,189.812,180.166,180.441,179.6,186.336,179.56,179.519,179.406,195.47,182.088,179.406,0.748122849848946
18,10,9,213.81,214.312,203.29,208.879,210.652,203.137,203.999,202.33,213.519,201.633,201.633,0.6656535785312919
18,10,10,237.256,234.183,222.548,224.848,222.985,222.26,223.626,236.301,223.661,230.338,222.26,0.6038771168901287
18,10,11,255.328,245.452,244.051,244.871,250.731,243.654,246.068,244.145,244.53,243.719,243.654,0.5508537844648559
18,10,12,278.124,263.553,262.697,264.008,262.639,262.505,262.628,262.626,262.507,262.658,262.505,0.5112958915068285
18,10,13,298.914,283.743,283.419,284.143,295.368,303.449,298.129,299.841,299.685,298.94,283.419,0.4735664440280998
18,10,14,328.815,322.261,315.314,308.051,308.927,308.917,306.595,306.804,307.709,307.029,306.595,0.43776880901515025
18,10,15,341.586,327.704,328.628,338.231,328.684,329.74,328.788,329.103,327.606,326.891,326.891,0.41058863046091815
18,10,16,199.92,184.273,183.419,187.391,186.179,188.203,186.372,184.671,185.063,182.242,182.242,0.7364807673313507
18,11,4,222.854,211.61,212.042,211.678,211.953,211.654,212.193,211.535,233.393,225.695,211.535,0.6344941877230719
18,11,5,268.679,260.125,257.193,257.25,256.835,257.089,264.717,264.31,264.367,264.271,256.835,0.5225834796659334
18,11,6,238.107,226.864,237.582,240.076,227.104,234.9,227.616,235.123,227.317,227.181,226.864,0.5916219761619296
18,11,7,274.835,266.526,264.911,263.241,265.911,266.815,263.267,261.684,261.292,261.296,261.292,0.5136694885415551
18,11,8,212.062,197.609,198.124,197.603,200.333,207.664,197.642,197.542,197.892,204.376,197.542,0.6794389446294966
18,11,9,233.611,220.704,220.42,220.488,220.732,220.059,246.426,246.335,237.562,237.44,220.059,0.6099170131646513
18,11,10,268.192,254.423,245.82,245.346,245.939,247.17,245.07,247.707,247.148,245.221,245.07,0.5476709838005468
18,11,11,279.252,271.385,278.858,270.653,266.066,265.766,265.855,266.692,265.955,266.577,265.766,0.5050221924550168
18,11,12,300.829,288.776,289.42,289.02,300.116,288.485,288.434,288.933,289.164,289.172,288.434,0.46533254748053277
18,11,13,322.673,312.269,311.274,312.223,312.589,311.782,311.243,311.254,341.414,336.04,311.243,0.4312313144392002
18,11,14,369.522,360.646,361.102,356.669,354.605,336.883,338.091,336.515,336.418,336.798,336.418,0.3989611970822013
18,11,15,371.003,362.538,361.223,360.58,362.7,360.379,359.378,359.182,366.121,358.768,358.768,0.3741073005396245
18,11,16,213.105,201.36,202.185,202.737,201.027,204.443,201.252,201.845,202.913,214.441,201.027,0.6676602048481051
18,12,4,241.669,230.4,230.545,230.861,230.803,239.309,241.77,230.687,254.02,233.007,230.4,0.5825422222222222
18,12,5,293.466,282.791,282.89,283.693,282.465,282.218,284.397,283.871,284.734,282.599,282.218,0.4755817417740895
18,12,6,258.898,247.53,248.104,247.685,247.591,247.944,247.54,247.585,247.574,248.074,247.53,0.5422281258837313
18,12,7,298.536,299.242,285.095,284.993,284.784,285.181,284.747,284.966,285.27,292.598,284.747,0.47135782993323894
18,12,8,227.968,215.458,215.491,214.875,215.368,215.111,215.032,216.192,216.051,214.783,214.783,0.6248992145560869
18,12,9,252.342,240.412,239.718,272.685,263.889,253.835,243.24,241.008,240.695,241.189,239.718,0.5598984139697478
