Tm,Tr,Tc,test#1,test#2,test#3,test#4,test#5,test#6,test#7,test#8,test#9,test#10,MIN Kernel Time,GFLOPS
34,6,10,277.253,265.863,264.927,265.766,264.892,266.228,265.488,266.292,264.926,265.769,264.892,0.5066884919136856
34,6,11,266.82,266.15,265.877,266.244,266.146,265.912,266.199,266.159,268.319,266.133,265.877,0.5048113526179399
34,6,12,267.049,266.325,266.409,264.895,272.035,266.073,266.634,265.274,265.072,264.752,264.752,0.5069564271469149
34,6,13,265.622,267.346,264.812,265.398,265.564,264.851,265.689,265.172,265.898,265.601,264.812,0.5068415630711599
34,6,14,265.495,265.715,265.398,265.969,265.086,265.995,264.87,264.788,275.485,266.667,264.788,0.506887502454794
34,6,15,265.742,267.393,264.831,266.251,266.285,266.527,266.055,266.65,264.816,266.209,264.816,0.5068339073167785
34,6,16,266.277,265.962,264.754,265.82,266.093,264.945,265.764,264.829,264.972,265.686,264.754,0.506952597505609
34,7,4,266.295,267.375,268.19,265.229,264.979,267.479,265.031,265.221,265.503,265.397,264.979,0.5065221319425314
34,7,5,266.134,265.417,266.525,267.305,266.432,265.003,265.541,265.993,268.16,266.475,265.003,0.5064762587593348
34,7,6,268.419,264.89,265.178,266.18,265.972,264.917,265.787,266.036,266.168,266.706,264.89,0.5066923175657821
34,7,7,266.153,266.144,265.386,264.954,266.072,270.967,264.898,274.934,265.973,266.925,264.898,0.5066770153040038
34,7,8,266.953,275.669,266.331,265.53,270.424,266.044,272.482,265.553,264.8,265.981,264.8,0.5068645317220543
34,7,9,269.124,265.974,265.093,266.001,266.418,266.106,266.18,266.02,265.152,266.212,265.093,0.5063043082993515
34,7,10,266.132,270.293,266.186,266.116,271.628,265.609,266.48,270.553,273.406,266.125,265.609,0.5053207082591328
34,7,11,266.21,265.003,266.129,264.977,268.979,265.672,266.138,268.317,264.954,264.999,264.954,0.5065699253455317
34,7,12,265.922,265.287,264.943,266.203,265.017,265.414,266.285,266.215,264.954,264.919,264.919,0.5066368512639713
34,7,13,265.996,265.989,266.227,266.088,266.119,266.177,264.983,264.907,265.51,266.131,264.907,0.5066598013642524
34,7,14,266.639,266.776,265.468,266.881,266.238,266.142,266.415,265.029,265.962,264.899,264.899,0.5066751025862687
34,7,15,282.486,265.68,267.169,265.647,265.295,264.937,266.447,266.792,268.328,266.094,264.937,0.506602430011663
34,7,16,282.273,265.185,265.264,264.941,266.054,266.051,265.937,267.739,265.117,265.025,264.941,0.5065947814796502
34,8,4,279.499,265.179,265.036,268.175,265.799,265.734,274.12,267.544,270.443,265.042,265.036,0.506413196697807
34,8,5,266.881,265.983,269.43,266.201,265.052,265.204,266.402,266.325,266.386,266.415,265.052,0.5063826268053061
34,8,6,266.663,264.878,265.462,265.023,272.937,266.308,266.362,266.258,264.95,269.046,264.878,0.5067152726915788
34,8,7,266.465,266.962,267.533,264.97,266.256,265.011,265.32,273.91,265.503,268.81,264.97,0.5065393365286636
34,8,8,266.793,264.925,271.755,264.932,265.262,265.987,266.622,264.849,265.116,266.233,264.849,0.5067707561667214
34,8,9,266.536,266.484,266.159,264.788,266.155,264.88,265.151,266.08,266.185,265.192,264.788,0.506887502454794
34,8,10,283.41,267.74,266.368,265.088,266.231,265.67,266.001,265.74,266.429,266.145,265.088,0.5063138580395943
34,8,11,266.495,266.147,266.033,266.146,265.117,266.363,265.621,268.271,264.836,266.154,264.836,0.5067956320137745
34,8,12,267.899,266.635,265.497,265.604,266.338,266.033,266.102,265.31,266.041,264.935,264.935,0.5066062543642781
34,8,13,266.538,266.124,264.883,265.997,265.101,264.884,265.936,265.012,266.116,266.461,264.883,0.5067057078030678
34,8,14,266.641,266.422,265.267,266.603,266.067,265.967,266.323,266.027,266.311,266.449,265.267,0.5059722015931118
34,8,15,266.474,266.129,268.337,265.263,266.092,264.924,264.916,265.086,264.899,266.06,264.899,0.5066751025862687
34,8,16,265.842,266.06,265.246,265.159,265.2,264.914,264.912,267.524,264.875,265.987,264.875,0.5067210117980179
